"ASIN","Brand","Category","SalesRank"
"B08QCYGWWM","HeidelBÄR Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","252920"
"B07NBRBXTT","Agile Stationery","","202482"
"0857442864","Cubicle 7","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","292462"
"B07GL61PKF","Big Game Toys","Toys & Games,Games & Accessories,Card Games","60406"
"1452171548","Chronicle Books","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","62642"
"B0077Q0NP2","Grandpa Beck's Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","289"
"B07D39MFQL","Outset Media","","329138"
"1601255667","Paizo Inc.","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","165164"
"B08J4HKTVJ","UNO","","11666"
"B00005NQE8","Gamewright","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","21167"
"B01D5CBK8A","North Star Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","26480"
"B07Y92F4PP","Wilder Games","Toys & Games,Games & Accessories,Card Games","54095"
"B07PVWNPY6","Goliath","Toys & Games,Collectible Toys,Collectible Display & Storage,Card Storage & Display,Cases","28951"
"B0871HD1ZM","oroora","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","181255"
"B07R4ZWMVJ","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1734322"
"B00RV3WD18","Wizards of the Coast","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","1844538"
"B00LGEBUVM","Wizards of the Coast","","1976253"
"B0062DOZA0","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","752333"
"B0895BD6S6","BANDAI NAMCO Entertainment","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","131332"
"B07WK5PB5D","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","147161"
"B08K2KFZRT","Magic: The Gathering Singles","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","915247"
"B0062DW2ZA","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1713123"
"B07X8FM1L1","Bushiroad","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","1364004"
"B00HY3S1O8","Bushiroad","","2021816"
"B088WKH7K5","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","35571"
"B089WGPK74","Yugi","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","103116"
"B0751PLW9V","MAGIC","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","184828"
"B0062E06WA","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","501085"
"B01AAUSJIE","Pokemon","","293958"
"B0028WL02U","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","796395"
"B00150SWGS","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","950107"
"B007FSEZRO","AEG","Toys & Games,Games & Accessories,Card Games","660235"
"B0028WAV3Y","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","538836"
"B095Z1VP79","%E3%83%9D%E3%82%B1%E3%83%A2%E3%83%B3%E3%82%AB%E3%83%BC%E3%83%89%E3%82%B2%E3%83%BC%E3%83%A0","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","0"
"B005796SEG","Winning Moves","","958259"
"B00850AM0U","Piko","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","2154959"
"B00PBSR9KU","Bushiroad","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","1931703"
"B01B4PUNHO","LUCK %26 LOGIC","","0"
"B005J39DTC","ヴァイスシュバルツ","Toys & Games,Games & Accessories,Card Games","0"
"B00SGQB8B0","BANDAI NAMCO Entertainment","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","1451373"
"B00Z9K22IO","ensky","","1386383"
"B08WB9S8F8","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","38237"
"B0062DQBM0","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","806599"
"B00OI1BX0I","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","376393"
"B01AW1VI34","CARD FIGHT%21%21 VANGURD","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","0"
"B00HXTTF5C","Dragon Ball Heroes","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","0"
"B01FAEOL2S","Spin Master Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","23237"
"B082LTNTYT","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","89635"
"B07CQSK1PD","Skybox","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","689385"
"B08F1JJ2QW","Magic: The Gathering Singles","","794249"
"B000Q5STDE","Mattel","Toys & Games,Games & Accessories,Card Games","789310"
"B08GJ31CK7","Wizards of the Coast","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","0"
"B00BBX34YO","Pico Ok","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","0"
"B08DMCXZMF","Mega Cards","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","165740"
"B07WD4RCTR","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","7221"
"B0026A5KMK","Parker Brothers","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","217544"
"B07RGG2F5F","Pokemon","","1323896"
"B08TMZYT86","qihan","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","0"
"B0154K3CG4","TOMY","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","1955094"
"B00XUR69Q4","WizKids","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","339058"
"B08J4JDZ5F","Mattel Games","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","3403"
"B00KXSJSC0","Asmodee","","2023"
"B084GP7X3P","Thames & Kosmos","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","2401"
"B08J5GLHSC","UNO","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","3241"
"B000M0P2RE","Bonfit","","481"
"B08PPVVK9M","WHAT DO YOU MEME?","Toys & Games,Games & Accessories,Card Games","1819"
"B00000IV95","SET Enterprises","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","2753"
"B003BLQG8K","PlayMonster","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","16331"
"B07H4S83D8","Mattel","","2227"
"B00001QGUN","Bicycle","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","8693"
"B07NDKPSB4","Pandasaurus Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","3991"
"B07C4F3KLF","Pandasaurus Games","","1992"
"B00UB7OXRS","Gamewright","Toys & Games,Games & Accessories,Card Games","3758"
"B008EBLMS6","Front Porch Classics","Toys & Games,Games & Accessories,Card Games","0"
"B00000DMBD","Winning Moves Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","2338"
"B07TJT135V","Mattel","Toys & Games,Games & Accessories,Card Games","14676"
"B00IVLIW5K","Mattel Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","2030"
"B08H1HW596","Leder Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","46478"
